sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Energy Industries,106.71,95.73,90.71,92.94,91.14,90.84,89.48,86.50,71.44,71.79,71.77,86.04,59.39,806.36,63.21,55.47,63.58,69.50,58.53,54.92,56.33,52.93,53.39,52.29,98.72,51.93,52.58,55.73,63.01,56.55,56.81,45.28,43.49,41.84,50.24,45.02
Public electricity and heat production,7.26,7.27,7.35,8.00,8.07,8.63,9.86,10.23,10.13,10.98,12.02,12.58,11.88,11.13,9.83,9.98,9.46,9.76,7.80,7.58,7.52,6.32,7.56,7.25,7.43,7.21,8.18,10.00,12.35,11.92,11.82,11.46,11.66,10.61,10.68,10.66
Petroleum refining,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.14,0.15,0.15,0.19,0.22,0.22,0.21,0.21,0.26,0.25,0.24,0.24,0.20,0.17,0.16,0.18,0.15,0.15,0.18,0.16,0.17,0.17,0.15,0.17,0.16,0.16,0.15,0.11,0.15
Solid fuels and other energy industries,0.05,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.04,0.04,0.06,0.07,0.08,0.07,0.09,0.09,0.08,0.09,0.10,0.10,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.05,0.05,0.04,0.03,0.02,0.00,0.01
Fugitive emissions,99.29,88.31,83.22,84.79,82.92,82.06,79.47,76.10,61.12,60.62,59.52,73.19,47.22,794.94,53.10,45.15,53.79,59.42,50.39,47.05,48.54,46.38,45.58,44.80,91.07,44.48,44.17,45.50,50.43,44.42,44.77,33.63,31.64,31.06,39.44,34.20
Residential,495.66,483.56,410.79,399.93,352.60,318.56,318.88,279.63,296.69,227.08,226.62,216.22,213.30,202.48,199.08,208.29,202.56,196.64,208.57,220.05,210.52,188.39,187.53,197.18,177.24,185.20,188.54,160.93,173.24,156.44,164.58,156.64,123.89,107.07,107.27,102.81
Manufacturing Combustion,7.67,7.99,6.77,7.12,6.94,7.10,7.60,7.70,8.23,8.30,9.64,10.14,9.75,10.08,10.98,12.36,11.82,11.40,10.56,9.60,9.85,8.95,9.02,9.73,11.02,11.27,11.16,12.46,12.73,12.26,12.03,11.75,11.73,11.63,11.34,11.96
Commercial Services,3.67,3.71,3.65,3.57,3.88,3.79,3.36,3.36,3.25,3.33,3.33,3.26,3.13,3.36,3.20,3.33,3.65,5.13,7.15,5.91,5.60,5.97,6.68,7.61,8.14,5.68,6.19,5.07,5.13,4.60,4.43,4.99,5.08,4.57,5.20,5.77
Public Services,3.90,3.78,3.46,3.32,3.33,3.09,2.86,2.68,2.47,2.53,2.61,2.51,2.35,2.23,2.06,2.05,1.96,1.83,1.84,3.20,2.87,3.49,4.10,5.58,5.82,4.62,6.87,6.49,5.95,5.24,5.52,6.14,6.34,5.75,6.46,6.62
Transport,54.94,56.40,57.80,54.59,53.27,52.77,52.71,50.05,52.40,51.85,49.25,48.48,45.42,43.32,43.07,43.38,42.07,40.67,37.94,33.46,29.50,27.28,24.62,23.49,22.44,21.12,19.51,17.10,15.32,13.99,10.42,10.31,10.82,11.57,11.62,11.91
