sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Energy Industries,11145.01,11604.44,12263.69,12282.24,12618.23,13301.42,14016.86,14674.04,15057.16,15751.37,16028.41,17295.06,16314.65,15611.00,15234.56,15718.56,14958.72,14458.26,14555.13,12972.04,13227.95,11844.52,12683.37,11331.52,11126.45,11737.91,12443.94,11629.26,10296.71,9055.47,8422.81,9972.17,9782.00,7651.17,6954.33,6454.84
Public electricity and heat production,10876.49,11361.81,12027.13,12047.52,12368.40,13051.27,13765.81,14404.19,14730.09,15411.99,15667.31,16799.71,15830.46,15108.59,14736.82,15136.45,14410.77,13932.81,14005.00,12466.32,12745.14,11424.02,12225.17,10876.66,10713.87,11264.98,12004.38,11184.93,9856.53,8674.06,8030.29,9597.24,9407.19,7330.58,6739.85,6157.51
Petroleum refining,168.39,166.40,171.57,172.39,178.00,181.00,179.12,218.40,247.45,223.51,274.32,320.95,339.21,337.08,336.14,411.22,376.53,360.19,366.88,314.90,310.10,285.17,313.29,294.25,279.18,358.37,313.25,310.85,321.84,274.23,300.68,294.06,307.97,286.86,209.75,291.84
Solid fuels and other energy industries,100.13,76.23,64.99,62.33,71.83,69.15,71.93,51.44,79.61,77.60,86.78,118.35,144.97,165.32,161.59,170.88,171.40,165.24,183.24,190.81,172.69,135.32,144.89,160.60,133.18,114.16,124.95,128.72,118.14,106.92,91.54,80.48,66.68,33.52,4.45,5.23
Fugitive emissions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,38.27,0.01,56.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.23,0.41,1.37,4.76,0.20,0.25,0.29,0.39,0.17,0.21,0.28,0.26
Residential,7048.06,6965.16,6245.23,6254.91,6206.63,6069.67,6429.87,6219.71,6780.06,6596.41,6699.59,7065.83,7085.59,7336.22,7507.57,7937.02,7821.96,7667.12,8439.89,8304.42,8627.96,7423.35,6942.79,6725.95,6053.36,6439.68,6683.55,6155.13,6634.17,6374.82,7010.95,6537.11,5484.86,5111.10,5366.14,5096.95
Manufacturing Combustion,4057.76,4344.71,4025.56,4231.86,4497.63,4519.45,4363.00,4712.07,4690.24,4870.64,5650.36,5619.34,5287.44,5401.73,5462.12,5580.81,5379.77,5456.79,5298.62,4267.80,4220.75,3798.98,3879.53,4098.38,4162.22,4272.97,4356.11,4574.25,4775.05,4700.74,4738.37,4729.43,4472.63,4263.63,4271.13,4100.42
Commercial Services,1004.03,1022.47,1016.89,1004.76,1095.78,1074.67,970.87,979.03,966.00,999.28,1025.24,1015.74,982.24,1079.78,1047.96,1081.27,1075.36,1072.02,1117.35,884.83,975.44,891.72,923.62,922.51,854.87,919.00,849.62,779.56,847.22,799.81,657.76,712.75,684.65,682.39,735.85,705.26
Public Services,1116.76,1089.78,995.31,967.75,973.06,903.25,864.24,817.08,766.96,792.84,838.70,805.68,747.91,706.47,657.12,649.55,625.69,589.26,588.53,490.01,516.21,466.32,500.32,567.89,573.26,599.28,619.37,625.31,671.16,698.19,656.83,690.54,682.26,641.93,692.35,671.45
Transport,5029.65,5207.48,5621.84,5583.62,5805.75,6058.88,7027.31,7347.94,8620.66,9533.52,10561.83,11079.05,11279.14,11489.08,12209.43,12922.31,13606.34,14203.93,13518.37,12312.95,11408.21,11101.39,10717.24,10938.37,11217.18,11689.83,12165.35,12003.40,12175.92,12187.86,10284.38,10961.84,11624.07,11669.55,11523.44,11354.98
