sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Energy Industries,63.58,65.06,66.93,64.03,65.27,66.14,69.22,69.10,66.86,68.49,68.45,74.50,83.89,92.95,81.40,89.18,96.70,102.37,128.14,123.14,128.07,116.91,119.39,110.55,110.49,108.61,124.07,124.85,126.20,123.78,110.12,95.52,102.57,91.42,90.51,89.70
Public electricity and heat production,63.09,64.62,66.56,63.66,64.86,65.75,68.82,68.74,66.37,68.00,67.87,73.78,83.08,92.11,80.59,88.40,95.89,101.60,127.33,122.33,127.40,116.40,118.83,109.95,109.98,108.15,123.56,124.32,125.74,123.39,109.69,95.11,102.21,91.18,90.40,89.53
Petroleum refining,0.17,0.18,0.14,0.15,0.15,0.16,0.16,0.20,0.21,0.20,0.28,0.31,0.31,0.28,0.29,0.37,0.35,0.34,0.34,0.27,0.19,0.16,0.17,0.15,0.14,0.17,0.15,0.16,0.17,0.15,0.18,0.15,0.15,0.14,0.11,0.14
Solid fuels and other energy industries,0.32,0.26,0.22,0.22,0.26,0.23,0.23,0.16,0.28,0.27,0.30,0.40,0.50,0.57,0.52,0.41,0.46,0.43,0.47,0.54,0.47,0.35,0.38,0.45,0.37,0.28,0.36,0.36,0.29,0.24,0.25,0.26,0.21,0.10,0.00,0.03
Fugitive emissions, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.02 , -   , 0.03 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
Residential,25.99,25.33,21.71,21.47,20.10,18.91,19.63,18.25,19.64,17.44,17.43,17.72,17.77,17.80,17.88,18.95,18.53,18.48,20.02,20.49,20.60,17.98,17.07,16.85,15.18,16.38,16.96,15.04,16.19,15.19,16.74,15.57,12.71,11.85,12.48,12.04
Manufacturing Combustion,28.10,37.56,36.58,37.38,40.17,41.07,39.96,41.38,42.10,43.71,46.04,49.41,48.04,48.01,51.15,59.75,59.31,57.43,43.16,53.59,42.38,36.06,36.39,41.61,38.39,36.46,39.49,49.47,49.38,50.15,43.79,45.13,46.57,49.40,49.28,49.19
Commercial Services,1.97,1.97,1.91,1.83,1.99,1.93,1.67,1.65,1.56,1.57,1.52,1.45,1.38,1.75,1.62,1.64,1.58,1.69,1.94,1.25,1.21,1.24,1.29,1.43,1.45,1.19,1.24,1.02,1.11,0.98,0.90,1.01,0.99,0.92,1.02,1.09
Public Services,2.38,2.26,1.92,1.80,1.76,1.57,1.50,1.34,1.16,1.15,1.13,1.10,1.03,0.95,0.86,0.86,0.80,0.74,0.75,0.84,0.79,0.83,0.90,1.22,1.24,1.09,1.39,1.34,1.28,1.18,1.17,1.27,1.28,1.20,1.32,1.33
Transport,58.64,58.90,71.06,86.83,114.87,152.46,226.26,281.96,346.87,154.25,167.98,174.55,171.07,165.90,164.27,160.43,158.59,151.27,110.89,101.61,96.26,96.92,96.56,101.28,106.41,128.44,165.51,181.37,205.05,221.94,189.47,221.13,247.88,250.17,247.11,240.71
Domestic aviation,0.35,0.31,0.31,0.27,0.28,0.33,0.35,0.37,0.41,0.46,0.50,0.49,0.49,0.51,0.49,0.57,0.66,0.61,0.58,0.47,0.35,0.18,0.11,0.11,0.11,0.11,0.12,0.13,0.12,0.13,0.10,0.14,0.16,0.17,0.19,0.20
Road transportation,43.89,44.60,58.08,72.72,101.43,139.91,211.69,267.84,332.28,140.01,153.65,159.04,157.23,150.68,147.96,145.66,143.43,135.52,94.30,86.94,81.79,82.81,82.87,87.66,93.47,115.32,151.85,167.55,190.93,207.13,176.82,207.44,233.27,234.32,230.26,223.12
Railways,13.77,13.37,11.99,13.17,12.41,11.52,13.42,12.95,13.33,12.82,12.73,13.90,12.15,13.42,14.15,12.64,12.64,13.66,14.48,12.71,12.61,12.62,12.20,12.15,11.15,11.36,11.57,11.95,12.07,12.63,10.06,10.88,12.17,13.30,14.40,15.00
