sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Energy Industries,11315.30,11765.23,12421.33,12439.20,12774.64,13458.40,14175.56,14829.64,15195.45,15891.65,16168.63,17455.61,16457.93,16510.31,15379.18,15863.21,15119.00,14630.13,14741.79,13150.10,13412.34,12014.35,12856.14,11494.36,11335.66,11898.44,12620.59,11809.84,10485.92,9235.80,8589.74,10112.97,9928.07,7784.43,7095.08,6589.56
Public electricity and heat production,10946.84,11433.69,12101.04,12119.18,12441.33,13125.65,13844.49,14483.16,14806.59,15490.97,15747.20,16886.06,15925.42,15211.83,14827.24,15234.82,14516.12,14044.17,14140.13,12596.22,12880.06,11546.75,12351.57,10993.87,10831.28,11380.34,12136.13,11319.25,9994.62,8809.37,8151.81,9703.80,9521.06,7432.36,6840.94,6257.70
Petroleum refining,168.67,166.71,171.81,172.65,178.26,181.27,179.40,218.74,247.81,223.85,274.79,321.48,339.74,337.57,336.65,411.85,377.13,360.78,367.46,315.37,310.46,285.48,313.63,294.55,279.47,358.72,313.56,311.18,322.18,274.53,301.04,294.37,308.28,287.15,209.97,292.13
Solid fuels and other energy industries,100.50,76.52,65.25,62.58,72.12,69.42,72.19,51.63,79.93,77.91,87.12,118.80,145.55,165.97,162.18,171.38,171.95,165.76,183.80,191.45,173.26,135.74,145.35,161.12,133.62,114.50,125.37,129.15,118.49,107.22,91.83,80.78,66.93,33.64,4.45,5.27
Fugitive emissions,99.29,88.31,83.22,84.80,82.92,82.07,79.48,76.10,61.12,98.91,59.52,129.27,47.23,794.95,53.11,45.16,53.80,59.43,50.41,47.06,48.56,46.39,45.59,44.81,91.29,44.89,45.54,50.26,50.63,44.68,45.07,34.02,31.80,31.27,39.72,34.46
Residential,7569.71,7474.05,6677.73,6676.31,6579.32,6407.15,6768.38,6517.59,7096.39,6840.93,6943.64,7299.78,7316.66,7556.50,7724.52,8164.26,8043.06,7882.23,8668.49,8544.96,8859.08,7629.72,7147.39,6939.98,6245.78,6641.26,6889.05,6331.10,6823.60,6546.45,7192.27,6709.32,5621.46,5230.02,5485.89,5211.79
Manufacturing Combustion,4093.54,4390.27,4068.90,4276.36,4544.74,4567.62,4410.55,4761.15,4740.57,4922.65,5706.03,5678.89,5345.23,5459.83,5524.25,5652.92,5450.90,5525.62,5352.34,4330.99,4272.98,3843.99,3924.95,4149.71,4211.63,4320.71,4406.75,4636.18,4837.16,4763.15,4794.19,4786.31,4530.92,4324.66,4331.75,4161.57
Commercial Services,1009.68,1028.15,1022.46,1010.16,1101.66,1080.39,975.89,984.04,970.81,1004.18,1030.09,1020.45,986.75,1084.89,1052.77,1086.23,1080.60,1078.85,1126.44,891.99,982.26,898.94,931.58,931.55,864.46,925.88,857.05,785.66,853.47,805.39,663.10,718.75,690.72,687.88,742.07,712.11
Public Services,1123.03,1095.82,1000.69,972.87,978.15,907.91,868.60,821.11,770.59,796.53,842.45,809.29,751.29,709.64,660.04,652.46,628.45,591.83,591.12,494.05,519.87,470.63,505.31,574.69,580.33,605.00,627.63,633.15,678.39,704.61,663.53,697.95,689.88,648.88,700.14,679.40
Transport,5143.22,5322.78,5750.70,5725.04,5973.89,6264.12,7306.29,7679.94,9019.93,9739.63,10779.07,11302.08,11495.62,11698.30,12416.76,13126.12,13807.00,14395.86,13667.20,12448.03,11533.97,11225.60,10838.42,11063.14,11346.03,11839.39,12350.37,12201.87,12396.29,12423.79,10484.28,11193.29,11882.76,11931.29,11782.17,11607.60
