Date,CO2_MtCO2,Temp_Anomaly_C
1990-06-15,350.46,0.249
1991-06-15,350.24,0.31
1992-06-15,354.73,0.231
1993-06-15,356.81,0.193
1994-06-15,354.27,0.214
1995-06-15,357.05,0.352
1996-06-15,360.99,0.379
1997-06-15,362.13,0.383
1998-06-15,364.37,0.307
1999-06-15,364.92,0.399
2000-06-15,369.32,0.409
2001-06-15,370.97,0.437
2002-06-15,371.7,0.51
2003-06-15,375.09,0.478
2004-06-15,375.9,0.534
2005-06-15,375.71,0.505
2006-06-15,379.35,0.543
2007-06-15,379.16,0.591
2008-06-15,381.32,0.443
2009-06-15,379.33,0.554
2010-06-15,378.52,0.562
2011-06-15,377.18,0.569
2012-06-15,379.43,0.618
2013-06-15,376.77,0.78
2014-06-15,375.76,0.611
2015-06-15,375.27,0.777
2016-06-15,376.0,0.585
2017-06-15,375.15,0.713
2018-06-15,374.62,0.773
2019-06-15,374.05,0.827
2020-06-15,376.01,0.857
2021-06-15,371.59,0.883
2022-06-15,370.83,0.812
2023-06-15,369.78,0.823
